agcy_name,org_name,org_name_level,id_number,location,title,name_of_incumbent,type_of_appt,type_of_appt_full,pay_plan,pay_plan_full,level_grade_or_pay,tenure,expires
ARCHITECT OF THE CAPITOL,,,001,"Washington, DC",Architect of the Capitol,Brett Blanton,PAS,Presidential Appointment with Senate Confirmation,OT,Other Pay Plan* (all those not listed separately),"$172,500",10 Years,2020-05-12T00:00:00Z
GOVERNMENT ACCOUNTABILITY OFFICE,OFFICE OF THE COMPTROLLER GENERAL,1,002,"Washington, DC",Comptroller General,Gene Dodaro,PAS,Presidential Appointment with Senate Confirmation,OT,Other Pay Plan* (all those not listed separately),"$183,100",,
GOVERNMENT ACCOUNTABILITY OFFICE,,,003,"Washington, DC",Deputy Comptroller General,Vacant,PAS,Presidential Appointment with Senate Confirmation,OT,Other Pay Plan* (all those not listed separately),,,
GOVERNMENT PUBLISHING OFFICE,,,004,"Washington, DC",Director,Hugh Nathanial Halpern,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,II,,
GOVERNMENT PUBLISHING OFFICE,,,005,"Washington, DC",Deputy Director,Patty Collins,XS,Appointment Excepted by Statute,EX,Executive Schedule,III,,
GOVERNMENT PUBLISHING OFFICE,,,006,"Washington, DC",Superintendent of  Documents,Laurie B. Hall,XS,Appointment Excepted by Statute,OT,Other Pay Plan* (all those not listed separately),,,
GOVERNMENT PUBLISHING OFFICE,,,007,"Washington, DC",Executive Assistant to the Director,Vacant,SC,Schedule C Excepted Appointment,OT,Other Pay Plan* (all those not listed separately),,,
GOVERNMENT PUBLISHING OFFICE,,,008,"Washington, DC",Inspector General,Michael P. Leary,XS,Appointment Excepted by Statute,OT,Other Pay Plan* (all those not listed separately),,,
LIBRARY OF CONGRESS,OFFICE OF THE LIBRARIAN,1,009,"Washington, DC",Librarian of Congress,Carla Hayden,PAS,Presidential Appointment with Senate Confirmation,EX,Executive Schedule,II,10 Years,
LIBRARY OF CONGRESS,AMERICAN FOLKLIFE CENTER BOARD OF TRUSTEES,1,010,"Washington, DC","Ex Officio Member, Chairman, National Endowment for the Humanities",Jon Parrish Peede,XS,Appointment Excepted by Statute,WC,Without Compensation*,,,2017-01-20T00:00:00Z
LIBRARY OF CONGRESS,,,011,"Washington, DC","Ex Officio Member, Chairman, National Endowment for the Arts",Mary Anne Carter,XS,Appointment Excepted by Statute,WC,Without Compensation*,,,
LIBRARY OF CONGRESS,,,012,"Washington, DC",Board Member,Vacant,PA,Presidential Appointment (without Senate Confirmation),WC,Without Compensation*,,6 Years,
LIBRARY OF CONGRESS,,,013,"Washington, DC",Board Member,Vacant,PA,Presidential Appointment (without Senate Confirmation),WC,Without Compensation*,,6 Years,
LIBRARY OF CONGRESS,,,014,"Washington, DC",Board Member,Vacant,PA,Presidential Appointment (without Senate Confirmation),WC,Without Compensation*,,6 Years,
